Приоритетна област	Дейност	Година	Средства в лв. от националния бюджет (без национални програми)	Средства от ЕС и други международни проекти и програми в лв.
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2018	644835	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2018	17216014	2602014
Ранно детско развитие 	"Дейност 311 ""Детски градини """	2018	681318307	4725444
Мотивирани и креативни учители	"Дейност 311 ""Детски градини """	2018	697939	0
Сплотени училищни общности и системна работа с родителите	"Дейност 311 ""Детски градини """	2018	523709	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 311 ""Детски градини """	2018	12935037	25888625
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	2018	17474697	2609228
Ранно детско развитие 	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2018	3830296	104260
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2018	936171	205008
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2018	45146	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	2018	19383934	177328
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 318 ""Подготвителна група в училище"""	2018	8930	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	2018	385032	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2018	34423471	200058
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2018	225186	3774
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2018	14660396	751634
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2018	1160634460	28710392
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2018	246664127	64520703
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2018	23066683	2629256
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2018	6459892	104572
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2018	29150829	238513
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2018	202698	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2018	310028	3599
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	2018	4732397	330469
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	2018	18486950	322472
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 324 ""Спортни училища"""	2018	20450	613819
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 324 ""Спортни училища"""	2018	282049	0
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	2018	12324253	0
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"""	2018	1095897	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 325 ""Български училища в чужбина"""	2018	31920	0
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2018	248043904	8751969
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2018	3386317	19079356
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2018	5271764	2903971
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2018	64471343	14765771
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"""	2018	3428824	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 327 ""Училища в места за лишаване от свобода"""	2018	278717	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 327 ""Училища в места за лишаване от свобода"""	2018	17413	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	2018	14786330	1303593
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	2018	305613	0
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	2018	834075	8230
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	2018	7500162	13039
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2018	21260789	489462
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2018	124252	475227
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2018	773562	3041
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	2018	42116619	74922
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 338 ""Ресурсно подпомагане"""	2018	442829	9770
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	2018	54820	106312
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	2018	61742	64635
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	2018	28025	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	2018	2750004	344728
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 369 ""Други дейности за младежта"""	2018	41491	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 369 ""Други дейности за младежта"""	2018	114363	1020
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	2018	890975	5829895
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	2018	2601154	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	2018	342114	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	2018	1193778	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	2018	108477	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	2018	1057946	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	2018	104827662	99756611
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2019	590477	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2019	18386847	3776347
Ранно детско развитие 	"Дейност 311 ""Детски градини """	2019	767337805	4153166
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 311 ""Детски градини """	2019	13378649	20634273
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	2019	30261351	2691099
Ранно детско развитие 	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2019	3616292	2506
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2019	590112	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2019	3319	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	2019	21637904	78695
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	2019	23290	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2019	43431481	109064
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2019	14724315	1383929
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2019	1390274261	12666046
Сплотени училищни общности и системна работа с родителите	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2019	697168	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2019	250482181	64960160
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2019	37654546	1632061
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2019	6339641	92735
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2019	34471060	86821
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2019	2442	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2019	539961	0
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	2019	4618218	165547
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	2019	21919034	96422
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 324 ""Спортни училища"""	2019	18506	276893
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 324 ""Спортни училища"""	2019	984116	0
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	2019	13918739	0
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"""	2019	1269631	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 325 ""Български училища в чужбина"""	2019	7260	0
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2019	296355392	2561509
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2019	3935631	3539735
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2019	5000881	556888
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2019	70561605	12860936
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"""	2019	3727987	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 327 ""Училища в места за лишаване от свобода"""	2019	312634	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 327 ""Училища в места за лишаване от свобода"""	2019	23662	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	2019	16323670	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	2019	262201	5591
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	2019	821897	138452
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 334 ""Повишаване на квалификацията"""	2019	93646	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	2019	7597196	0
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2019	27300869	192930
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2019	1649177	142374
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	2019	55147459	64057
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	2019	19834	24911
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	2019	17120	10346
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 359 ""Други дейности за децата"""	2019	44376	229532
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	2019	147797	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	2019	3115794	55366
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	2019	324256	7699405
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	2019	2130854	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	2019	363478	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	2019	1812995	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	2019	117906	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	2019	611194	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	2019	128087596	73748938
Реализация в професиите на настоящето и бъдещето	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2020	629558	0
Ефикасно управление и участие в мрежи	"Дейност 301 ""Управление, контрол, регулиране и лицензиране на дейности по образованието"""	2020	20795698	4465438
Ранно детско развитие 	"Дейност 311 ""Детски градини """	2020	816382107	15923856
Сплотени училищни общности и системна работа с родителите	"Дейност 311 ""Детски градини """	2020	1155739	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 311 ""Детски градини """	2020	10928795	16091812.000000002
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 311 ""Детски градини """	2020	29608143	2655891
Ранно детско развитие 	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2020	3946346.9999999995	22143
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2020	502841	1646
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 312 ""Специални групи в детски градини за деца със СОП"""	2020	17651	0
Ранно детско развитие 	"Дейност 318 ""Подготвителна група в училище"""	2020	22903568	503578.99999999994
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 318 ""Подготвителна група в училище"""	2020	71477	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 318 ""Подготвителна група в училище"""	2020	33030	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2020	46302644	92343
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 321 ""Специални училища и центрове за специална образователна подкрепа"""	2020	622833	0
Компетентности и таланти 	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2020	14767553	118203
Мотивирани и креативни учители	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2020	1613955331	31876540
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2020	244549671	46900214
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 322 ""Неспециализирани училища, без професионални гимназии"""	2020	37029531	3799218
Компетентности и таланти 	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2020	5846114	80053
Мотивирани и креативни учители	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2020	40621367	134653
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2020	75847	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 323 ""Училища по културата и училища по изкуствата"""	2020	634396	1062
Компетентности и таланти 	"Дейност 324 ""Спортни училища"""	2020	4180971.0000000005	147084
Мотивирани и креативни учители	"Дейност 324 ""Спортни училища"""	2020	25865591	237525.99999999997
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 324 ""Спортни училища"""	2020	10262	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 324 ""Спортни училища"""	2020	852248	610
Компетентности и таланти 	"Дейност 325 ""Български училища в чужбина"""	2020	14115843	0
Мотивирани и креативни учители	"Дейност 325 ""Български училища в чужбина"""	2020	1584445.0000000002	2880
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 325 ""Български училища в чужбина"""	2020	5913	0
Мотивирани и креативни учители	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2020	357506620	5069446
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2020	8017749	2740
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2020	9659178	404784.00000000006
Реализация в професиите на настоящето и бъдещето	"Дейност 326 ""Професионални гимназии и паралелки за професионална подготовка"""	2020	75371030	7218896
Мотивирани и креативни учители	"Дейност 327 ""Училища в места за лишаване от свобода"""	2020	4295673	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 327 ""Училища в места за лишаване от свобода"""	2020	261041.99999999997	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 327 ""Училища в места за лишаване от свобода"""	2020	8689	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 332 ""Общежития"""	2020	17622718	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 332 ""Общежития"""	2020	122282	0
Сплотени училищни общности и системна работа с родителите	"Дейност 333 ""Ученически почивни лагери"""	2020	168298	98345
Мотивирани и креативни учители	"Дейност 334 ""Повишаване на квалификацията"""	2020	3910328	603110
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 334 ""Повишаване на квалификацията"""	2020	21908	8337
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 336 ""Столове"""	2020	6999579	22321
Компетентности и таланти 	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2020	4179320.9999999995	3836
Мотивирани и креативни учители	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2020	22950552.000000004	65019.00000000001
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2020	182548	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 337 ""Център за подкрепа за личностно развитие"""	2020	294572	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 338 ""Ресурсно подпомагане"""	2020	67561467	40231
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 338 ""Ресурсно подпомагане"""	2020	725222	0
Ранно детско развитие 	"Дейност 359 ""Други дейности за децата"""	2020	56919	52263
Компетентности и таланти 	"Дейност 359 ""Други дейности за децата"""	2020	14800	16055
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 359 ""Други дейности за децата"""	2020	15048	134770
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 359 ""Други дейности за децата"""	2020	19975	0
Компетентности и таланти 	"Дейност 369 ""Други дейности за младежта"""	2020	5264115	177354
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 369 ""Други дейности за младежта"""	2020	28942	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 369 ""Други дейности за младежта"""	2020	30905	38862
Учене през целия живот 	"Дейност 388 ""Международни програми и споразумения, дарения и помощи от чужбина"""	2020	171589	12775645
Компетентности и таланти 	"Дейност 389 ""Други дейности по образованието"""	2020	3370858	0
Ефективно включване, трайно приобщаване и образователна интеграция	"Дейност 389 ""Други дейности по образованието"""	2020	348847	0
Образователни иновации, дигитална трансформация и устойчиво развитие	"Дейност 389 ""Други дейности по образованието"""	2020	851778	0
Реализация в професиите на настоящето и бъдещето	"Дейност 389 ""Други дейности по образованието"""	2020	66622	0
Учене през целия живот 	"Дейност 389 ""Други дейности по образованието"""	2020	636923	0
Ефикасно управление и участие в мрежи	"Дейност 389 ""Други дейности по образованието"""	2020	115899239	65001612
